"year","time","rank","artist","album","song_title_clean","k_title","e_title","k_length","e_length","eng_label"
2020,1,3,"염따 (YumDDa), 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉 (Simon Dominic)","Dingo X DAMOIM (Part 2)","아마두","아마두","",3,0,0
2020,1,5,"노을","늦은 밤 너의 집 앞 골목길에서","늦은 밤 너의 집 앞 골목길에서","늦은 밤 너의 집 앞 골목길에서","",17,0,0
2020,1,6,"백예린","Every letter I sent you.","Square (2017)","","Square",0,6,1
2020,1,8,"백지영","다시는 사랑하지 않고, 이별에 아파하기 싫어","다시는 사랑하지 않고, 이별에 아파하기 싫어","다시는 사랑하지 않고  이별에 아파하기 싫어","",24,0,0
2020,1,9,"아이유 (IU)","Love poem","Love poem","","Love poem",0,9,1
2020,1,13,"다비치","나의 오랜 연인에게","나의 오랜 연인에게","나의 오랜 연인에게","",10,0,0
2020,1,14,"임재현","조금 취했어","조금 취했어","조금 취했어","",6,0,0
2020,1,15,"폴킴","호텔 델루나 OST Part.10","안녕","안녕","",2,0,0
2020,1,16,"마크툽 (Maktub)","Red Moon : To You My Light","오늘도 빛나는 너에게","오늘도 빛나는 너에게","",11,0,0
2020,1,17,"전상근","사랑이란 멜로는 없어","사랑이란 멜로는 없어","사랑이란 멜로는 없어","",11,0,0
2020,1,18,"김나영, 양다일","헤어진 우리가 지켜야 할 것들","헤어진 우리가 지켜야 할 것들","헤어진 우리가 지켜야 할 것들","",16,0,0
2020,1,19,"정승환","십이월 이십오일의 고백","십이월 이십오일의 고백","십이월 이십오일의 고백","",12,0,0
2020,1,20,"바이브 (Vibe)","이 번호로 전화해줘","이 번호로 전화해줘","이 번호로 전화해줘","",10,0,0
2020,1,22,"송하예","새 사랑","새 사랑","새 사랑","",4,0,0
2020,1,26,"HYNN(박혜원)","시든 꽃에 물을 주듯","시든 꽃에 물을 주듯","시든 꽃에 물을 주듯","",11,0,0
